raw_row_id,transaction_id,customer_id,transaction_date,currency_route,amount_gbp
1,T001,C001,2022-04-01,GBP-->EUR,1250.00
2,T002,C001,2022-04-05,EUR-->GBP,900.00
3,T003,C002,2022-04-09,GBP-->CHF,720.00
4,T004,C003,2022-04-12,USD-->GBP,520.00
5,T005,C003,2022-04-15,USD-->USD,2000.00
6,T006,C004,2022-05-02,GBP-->USD,700.00
7,T007,C004,2022-05-08,USD-->USD,650.00
8,T008,C005,2022-05-14,EUR-->GBP,450.00
9,T009,C006,2022-05-18,EUR-->USD,810.00
10,T010,C007,2022-06-01,EUR-->GBP,690.00
11,T011,C008,2022-06-06,GBP-->USD,975.00
12,T012,C008,2022-06-11,USD-->USD,340.00
13,T013,C009,2022-07-03,EUR-->EUR,1150.00
14,T014,C009,2022-07-07,GBP-->USD,1400.00
15,T015,C001,2023-07-28,USD-->GBP,480.00
16,T016,C002,2023-07-30,GBP-->EUR,-150.00
17,T017,C010,2023-08-02,EUR-->GBP,560.00
18,T018,C003,2022-01-15,USD-->GBP,250.00
19,T019,C003,2023-08-01,USD-->GBP,640.00
20,T020,C004,2022-11-09,USD-->GBP,
21,T021,C999,2022-11-18,EUR-->GBP,300.00
22,T022,C007,invalid_date,GBP-->EUR,330.00
23,T023,C008,2022-12-22,USD-GBP,150.00
24,T015,C001,2023-07-28,USD-->GBP,480.00
25,T024,C011,2022-08-20,GBP-->EUR,510.00
